,cleanned_tweet
1135112289638670341,udps
1135111690381660161,thanks mr president
1135111598513766401,young boy south sudan
1135110689280778242,extraction nécessaire ily avoir justice
1135110591880847361,débat rage sort statue héros blanc époque colonial pression étudiant
1135108684219080704,verschil
1135107909703098368,kwaani twiter ndio chakula
1135107737757659137,suite conner apologie violence faite femme non accord
1135107665699454976,soeur impudique vien tenter frapp pasteur marcello tunasi
1135107471972937728,boya kwel ww mbona tukiwa tunakwichi kwichi huwa mnajamba mfululizo
1135105441288118272,content hein
1135104001173839874,kitumaini formation enquêteur étude opérationnel attitude connaissance ssr
1135103311105929216,kinshaser certes vie cell prêchée média social changement ainsi chanter
1135102992649195520,fort traduction écrire
1135102588142182400,somo connaître président toujours symper ouvert millimètre
1135102078613897219,souhaite ordre national héros national kabila lumumba rebaptisé proposer q
1135100031210577920,assemblée national ancien député réclamer arriérer prime
1135099444486123520,ok voyon voir possible mettre forme de un pétition signeron envoyer le assemblée national
1135099114079903744,finished trail running kilomètre h36m06 endomondo endorphin null
1135098936644030466,yesterday morning colleague agencie ngo wa
1135098833921282048,félicitation talent pays politicien étouffe
1135098175688192000,finishing thread latest guidance menstrual health hygiene wealth information fo
1135098022793306112,total retirer opération eloration pétrolier bloc graben albertin
1135097155411222530,haaaahaaaa
1135096988368855040,
1135095862936375296,ce être phénomène
1135095671474806784,
1135095278900580354,need iron lot clothe already tired
1135095078450581505,mimi nipo na wal pander boda boda nitalipia
1135094931192786944,toujours vouloir modifier partie histoire
1135094276428353536,udps udps
1135093870511951872,digne fils
1135093478306787328,what s sunday routine
1135093118682968064,first priz may goma ebolahackathon goes application using element link communi
1135092483149443072,getting colder drip season
1135092389855596544,kwenye maisha hakikisha unajua nani wa kuer nae karibu nani wa kuer nae mbali na nani wa kutokua na kabisa
1135091980042670082,
1135090733629751296,hivi lini mtafanya bangi iruhusiwe kibongo bongo
1135087724220821504,fact would actually business still want humiliated like
1135087621544337408,fille seul copin dieu bénir abondamment
1135086155249139712,littl boy deserve award like time wanted turn tv cause really
1135084204927213569,parc nsele quelque heure excited
1135082828629237760,message prendre conditionnel sûr nouvell
1135082630154788865,nouveau épouse malheureux hoe bas niveau terme raisonnement
1135080678712905731,justice fass travail établir responsabilité
1135079669076643840,bel témoin événement riche couleur paix âm
1135078910067191808,chapeau bas mr président
1135077814053552129,premier prix ebolahackathon décerner groupe le application ia jam mettre relation habiter
1135075650296041472,hbd hon eric ngalula ilunga
1135073678880849920,fierter national
1135073581405261824,merci beaucoup
1135070887227658242,ce être modeler exemple suivre jeune pomba fidélité loyauter le amour travail efutaka kaker
1135068401729060865,venir publier photo africa lubumbashi
1135067474708373504,heureux anniversaire monsieur
1135067131815632896,politicien ne aimer pays peuple aimer intérêt égoïste
1135067072055132161,partager aujourdhui repas cellul base akam gomer le occasion idi el fitr bri
1135066883181465600,loooooooool
1135066063228547072,paix âm
1135066019607785477,like aj need fight wilder
1135065538722521088,
1135065233528098816,bro rooting aj uk took big lol
1135065044641861632,penser police congolais
1135065041470971905,penser police congolais
1135064865998069760,reflèt le autorité dun pays
1135064863632498688,reflèt le autorité dun pays
1135063599288868866,merci beaucoup
1135063582352261120,an
1135063576199258112,voi
1135063039529668608,histoire enseigner génération génération
1135062992171782144,like wtf joshua one job one bloody job
1135062395494293504,sérieux
1135062051355860992,oui
1135061217716948993,rien félicitation musiqu
1135060926833614848,bravo le artiste aller le avant
1135060733262225409,curieux savoir proposition
1135058309638164481,frère nionso tolingi mboka tour oyo ekend liboso tolingi lisusu ba politicien oy
1135056623884365824,democratic republic capital kinshaser region subsaharan africa credit
1135047892585123840,f52f7a27c8cb98de20a48c97318567e67a1733984cb687188b5a9937f188c2e73be6cca4a0a3c5c59eb6d2b6ed701cbcff085f26cab7c317e01
1135047077698973696,justifier gros salair
1135046917807886338,biff trouv gramme
1135046769790861312,vrai Monsieur président
1135046539984932869,
1135045430084034560,entrée gratuite africer lubumbashi
